userName,score,at,content
Darso channel,5,2026-05-05 07:20:34,good
Andi Sutris,1,2026-05-05 07:18:01,ko gak bisa masuk ??
Widhon Ali,5,2026-05-05 06:01:33,Good
ahyar lubis,5,2026-05-05 05:53:42,mantap
Jarkasih Nur,1,2026-05-05 04:30:04,kebanyakan iklan setiap keluar ikalan muncul kadang 3-4 kali iklan muncul
Iqbal Pratama Ibee,5,2026-05-05 02:48:17,ok
Faizul Zul,1,2026-05-05 02:10:50,aplikasi macem apa ini min? verifikasi yg lewat sms gk dateng2 padahal udh ngasih no telfon.
Leo,5,2026-05-05 01:43:23,aplikasi nya saya suka banget
Hasan Fahruddin,3,2026-05-05 01:31:13,cocok untuk negosiasi dan cari yg cocok banyak pilihan wanita
Ratna Sandra,1,2026-05-05 01:27:17,"ini kenapa sekarang lokasi nyangkut kemana"" makin kacau. masa iya aku di semarang pengguna sekitar area sulawesi semua"
Mas bray Bray,3,2026-05-05 01:22:21,baik
Muhamad Ridwan,5,2026-05-05 00:58:58,mantaaap
Mipad 6,1,2026-05-04 22:22:19,banyak perempuan murahan di dalamnya banyak disalah gunakan penggunaannya bagi yang sudah menikah terkhusus laki laki ini dijaga nafsunya pasti kalau ke aplikasi ini nengoknya perempuan murah padahal udah ada istri
Lilis Rohma,5,2026-05-04 21:52:13,ok
Novie Aprilia,4,2026-05-04 21:38:19,tolong dong lokasi fake diapus aja sama foto orng jangan di bikin akun palsu saya minta tolong banget
Susilawati55,5,2026-05-04 21:18:46,oke
AL4p AL4p88,5,2026-05-04 21:10:00,ok
Pieter Ter,1,2026-05-04 20:29:44,"iklan nda dikondisikan lah , jadi ga nyaman jelek"
Albet Siagian,5,2026-05-04 20:05:46,bagus si
jECk HuMAy,5,2026-05-04 19:41:41,membantu
avip andri,1,2026-05-04 19:12:54,"tolong di perbaiki, dan untuk login dengan verifikasi nomer handphone tolong di hapus karena tidak ada kode yang di kirimkan, bikin simple, dan tolong di perbaiki lagi agar mempermudah login, dan perbaiaki akun yang sering tiba"" tidak bisa login karena entah di hapus atau ada penyalah gunaan, sangat tidak koperatif"
Bang Sat,1,2026-05-04 18:27:09,terlalu mahal ... dan serba berbayar .. gak bayar iklan durasi lama dan gak bisa di skiip
Wawan Ruwanto,1,2026-05-04 18:23:39,terlalu banyak iklan MENGGANGGU BANGET.
Fajar Ul,5,2026-05-04 17:17:56,bagus tapi terlalu banyak iklan
Hans Syailentdra,3,2026-05-04 17:16:18,banyak iklan😠😠
create your,5,2026-05-04 17:03:00,what is that.
Jamal Ludin,5,2026-05-04 16:52:28,bagus
Saddan husain Hilya,5,2026-05-04 16:47:35,ok
Apri Adi,5,2026-05-04 16:45:17,mantaaap apk nya
kang noob,1,2026-05-04 16:17:57,cukup tau lah ya terimakasih michat kamu aplikasi yang membantu penipuan
Muhammad Faisal,5,2026-05-04 16:09:02,buka aplikasi michat
Edward Sihombing,5,2026-05-04 15:53:56,good
Pis Cokall,5,2026-05-04 15:30:14,keren
Chandra Irawan,5,2026-05-04 15:12:42,so far so good
Ganfi Cukur,5,2026-05-04 15:10:51,ok bagus
Finkhan Indraki,1,2026-05-04 15:01:46,aplikasi yang banyak mudharat nya
Kiki Kiki,5,2026-05-04 14:47:34,kenapa ngga bisa buka yang terdekat
Sulthan nazifa,5,2026-05-04 14:39:19,gas pool lah
Shandy Apriandi,1,2026-05-04 14:38:53,"apk stann ga pernah berlangganan, jadi berlangganan tiba tiba hilang uang trus"
Muhammad Sidik,1,2026-05-04 14:36:38,gak...kenapa dipotong kesini
Falih Alifano,1,2026-05-04 13:48:59,kurangi aja iklannya
Boek Otong,5,2026-05-04 13:21:01,ngk ada pengalaman tentang opsional
Jun aidi,5,2026-05-04 13:19:59,bagus jadi banyak teman
